"filename", "language", "TypeScript", "Less", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\DATN\Web\src\app\modals\review\index.html", "HTML", 0, 0, 0, 28, 0, 0, 1, 29
"d:\DATN\Web\src\app\modals\review\index.scss", "SCSS", 0, 0, 0, 0, 34, 0, 4, 38
"d:\DATN\Web\src\app\modals\review\index.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 6, 51
"d:\DATN\Web\src\app\models\file-upload.model.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\DATN\Web\src\app\service\auth-guard.service.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 8, 32
"d:\DATN\Web\src\app\service\http-interceptor.ts", "TypeScript", 49, 0, 0, 0, 0, 4, 3, 56
"d:\DATN\Web\src\app\service\injector.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 4, 12
"d:\DATN\Web\src\app\service\rest-api.service.ts", "TypeScript", 18, 0, 0, 0, 0, 3, 8, 29
"d:\DATN\Web\src\app\service\upload-file.service.ts", "TypeScript", 61, 0, 0, 0, 0, 17, 16, 94
"d:\DATN\Web\src\environments\environment.prod.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"d:\DATN\Web\src\environments\environment.ts", "TypeScript", 19, 0, 0, 0, 0, 4, 2, 25
"d:\DATN\Web\src\index.html", "HTML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\DATN\Web\src\main.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5, 10
"d:\DATN\Web\src\styles.css", "CSS", 0, 0, 44, 0, 0, 0, 10, 54
"d:\DATN\Web\src\theme.less", "Less", 0, 1, 0, 0, 0, 5, 4, 10
"d:\DATN\Web\src\typings.d.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 1, 7
"Total", "-", 2040, 1, 158, 1008, 464, 170, 383, 4224
