Date : 2024-06-02 14:38:01
Directory : d:\DATN\Web\src
Total : 70 files,  3671 codes, 170 comments, 383 blanks, all 4224 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\DATN\Web\src\app\components\registration\registration.component.ts   | TypeScript |         89 |         62 |         14 |        165 |
| d:\DATN\Web\src\app\components\settings\settings.component.html         | HTML       |         79 |          0 |          2 |         81 |
| d:\DATN\Web\src\app\components\settings\settings.component.scss         | SCSS       |         30 |          0 |          4 |         34 |
| d:\DATN\Web\src\app\components\settings\settings.component.ts           | TypeScript |         87 |          0 |          8 |         95 |
| d:\DATN\Web\src\app\const\const.ts                                      | TypeScript |         20 |          0 |          2 |         22 |
| d:\DATN\Web\src\app\modals\chat\views\channel\channel.component.html    | HTML       |         14 |          0 |          3 |         17 |
| d:\DATN\Web\src\app\modals\chat\views\channel\channel.component.scss    | SCSS       |         56 |          0 |         13 |         69 |
| d:\DATN\Web\src\app\modals\chat\views\channel\channel.component.ts      | TypeScript |         75 |          1 |          8 |         84 |
| d:\DATN\Web\src\app\modals\chat\views\chat\chat.component.html          | HTML       |         12 |          0 |          8 |         20 |
| d:\DATN\Web\src\app\modals\chat\views\chat\chat.component.scss          | SCSS       |         90 |          0 |         13 |        103 |
| d:\DATN\Web\src\app\modals\chat\views\chat\chat.component.ts            | TypeScript |         47 |          0 |          5 |         52 |
| d:\DATN\Web\src\app\modals\chat\views\receiver\receiver.component.html  | HTML       |         14 |          0 |          2 |         16 |
| d:\DATN\Web\src\app\modals\chat\views\receiver\receiver.component.scss  | SCSS       |         18 |          0 |          2 |         20 |
| d:\DATN\Web\src\app\modals\chat\views\receiver\receiver.component.ts    | TypeScript |         35 |          1 |          4 |         40 |
| d:\DATN\Web\src\app\modals\forgot-pw\index.html                         | HTML       |         31 |          0 |          7 |         38 |
| d:\DATN\Web\src\app\modals\forgot-pw\index.scss                         | SCSS       |         17 |          0 |          1 |         18 |
| d:\DATN\Web\src\app\modals\forgot-pw\index.ts                           | TypeScript |        109 |          0 |          6 |        115 |
